type,input,counter
info,"VERSION","DRIVER:1.1.0.327"
info,"VERSION","DEVICE:1.1.0.327"
info,"VERSION","ACPI-BATTERY:1.1.0.327"
key,"ACPI-BATTERY(0)","ACPI-BATTERY:::AC_DC::"
key,"ACPI-BATTERY(1)","ACPI-BATTERY:::BATTERY_COUNT::"
key,"ACPI-BATTERY(2)","ACPI-BATTERY:::BATTERY_LIFE:%:"
key,"ACPI-BATTERY(3)","ACPI-BATTERY:::SYSTEM_POWER_IN_DC:WATTS:"
key,"ACPI-BATTERY(4)","ACPI-BATTERY:::CAPABILITIES::"
key,"ACPI-BATTERY(5)","ACPI-BATTERY:::ID::"
key,"ACPI-BATTERY(6)","ACPI-BATTERY:::CHEMISTRY::"
key,"ACPI-BATTERY(7)","ACPI-BATTERY:::ESTIMATE_RUNTIME:secs:"
key,"ACPI-BATTERY(8)","ACPI-BATTERY:::CHARGE_DISCHARGE_RATE:mW:"
key,"ACPI-BATTERY(9)","ACPI-BATTERY:::THEORETICAL_CAPACITY:mWh:"
key,"ACPI-BATTERY(10)","ACPI-BATTERY:::FULL_CHARGE_CAPACITY:mWh:"
key,"TFC","Out-of-cycle (flag)"
key,"TS","Sample Count (samples)"
key,"TFCD","Clock Drift (flag)"
key,"TCDR","Clock Drift Ratio (no unit)"
key,"TET","Elapsed Time Since ESRV Start (ms)"
key,"TW","Wall Time (ms)"
key,"TI","Input(s) Time (ms)"
key,"TPL","PL Time (ms)"
key,"TPLA","PL Agent Time (ms)"
key,"TOS","OS Time (ms)"
key,"THW","HW Time (ms)"
key,"TDAQ","DAQ Time (ms)"
key,"TPOW","Power Time (ms)"
key,"TCORR","Correlation Time (ms)"
key,"TLOG","LOG Time (ms)"
key,"TEQS","Equation Selection Time (ms)"
key,"TEQC","Equation(s) Computation Time (ms)"
key,"TCLK","CLK Time (ms)"
key,"TFSM","FSM Time (ms)"
key,"TANN","ANN Time (ms)"
key,"TDLIB","DYNLIB Time (ms)"
key,"TDLIBXLD","DLIBXLD Last Time (ms)"
key,"TIL(0)","Input Library [ACPI-BATTERY] Time (ms)"
